127.0.0.1 - - [11/Jan/2021:09:39:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/index.html HTTP/1.1" 200 19801
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/css/bootstrap.min.css HTTP/1.1" 200 122244
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/css/owl.theme.default.min.css HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/css/shortcode/shortcodes.css HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/css/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/style.css HTTP/1.1" 200 93303
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/css/custom.css HTTP/1.1" 200 2232
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/css/responsive.css HTTP/1.1" 200 34068
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/css/core.css HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/js/vendor/modernizr-2.8.3.min.js HTTP/1.1" 200 15518
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/css/material-design-iconic-font.min.css HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/css/themify-icons.css HTTP/1.1" 200 17531
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/css/plugins/animate.css HTTP/1.1" 200 74096
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/css/plugins/animate-slider.css HTTP/1.1" 200 27971
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/css/shortcode/default.css HTTP/1.1" 200 15332
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/css/plugins/jquery-ui.css HTTP/1.1" 200 32082
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/css/plugins/magnific-popup.css HTTP/1.1" 200 7302
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/css/plugins/slick.css HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/css/plugins/slick-theme.css HTTP/1.1" 200 3349
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/css/plugins/meanmenu.css HTTP/1.1" 200 3889
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/css/shortcode/header.css HTTP/1.1" 200 25633
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/css/shortcode/slider.css HTTP/1.1" 200 8655
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/css/shortcode/footer.css HTTP/1.1" 200 5867
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/js/vendor/jquery-1.12.0.min.js HTTP/1.1" 200 97367
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/js/bootstrap.min.js HTTP/1.1" 200 37118
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/js/plugins.js HTTP/1.1" 200 205583
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/js/slick.min.js HTTP/1.1" 200 40478
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/js/owl.carousel.min.js HTTP/1.1" 200 42772
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/js/waypoints.min.js HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/js/main.js HTTP/1.1" 200 16449
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/images/logo/logo.png HTTP/1.1" 200 13153
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/images/product/sm-img/1.jpg HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/images/product/sm-img/2.jpg HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/images/slider/bg/1.png HTTP/1.1" 200 506042
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/images/icons/close-20.png HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:39 +0900] "GET /ShoppingProject/images/slider/bg/2.png HTTP/1.1" 200 506042
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:40 +0900] "GET /ShoppingProject/fonts/themify.woff?-fvbane HTTP/1.1" 200 56108
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:40 +0900] "GET /ShoppingProject/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 200 38384
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:40 +0900] "GET /ShoppingProject/images/favicon.ico HTTP/1.1" 200 15406
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:54 +0900] "GET /ShoppingProject/shop.jsp HTTP/1.1" 200 35788
0:0:0:0:0:0:0:1 - - [11/Jan/2021:09:39:54 +0900] "GET /ShoppingProject/css/owl.theme.default.min.css HTTP/1.1" 304 -
